thread_id,doc_id
E0000,34
E0000,39
E0000,41
E0000,42
E0000,67
E0000,73
E0000,78
E0000,84
E0000,93
E0000,105
E0000,135
E0000,150
E0000,164
E0000,175
E0000,179
E0000,180
E0000,185
E0000,188
E0000,189
E0000,210
E0000,223
E0000,265
E0000,271
E0000,272
E0000,280
E0000,291
E0000,301
E0000,305
E0000,306
E0000,307
E0000,358
E0000,370
E0000,373
E0000,380
E0000,392
E0000,396
E0000,397
E0000,418
E0000,422
E0000,424
E0000,426
E0000,427
E0000,428
E0000,432
E0000,469
E0000,470
E0000,480
E0000,482
E0000,487
E0000,510
E0000,520
E0000,527
E0000,563
E0000,565
E0000,588
E0000,592
E0000,597
E0000,603
E0000,607
E0000,616
E0000,617
E0000,630
E0000,631
E0000,633
E0000,639
E0000,641
E0000,643
E0000,653
E0000,656
E0000,657
E0000,658
E0000,661
E0000,662
E0000,668
E0000,687
E0000,699
E0000,703
E0000,708
E0000,716
E0000,731
E0000,744
E0000,816
E0000,826
E0000,831
E0000,833
E0000,834
E0000,837
E0000,902
E0000,903
E0000,913
E0000,915
E0000,925
E0000,929
E0000,943
E0000,949
E0000,950
E0000,951
E0000,952
E0000,955
E0000,960
E0000,961
E0000,962
E0000,963
E0000,968
E0000,972
E0000,1056
E0000,1066
E0000,1068
E0000,1069
E0000,1070
E0000,1071
E0000,1073
E0000,1084
E0000,1089
E0000,1091
E0000,1095
E0000,1101
E0000,1102
E0000,1103
E0000,1104
E0000,1110
E0000,1111
E0000,1114
E0000,1115
E0000,1116
E0000,1118
E0000,1119
E0000,1121
E0000,1123
E0000,1124
E0000,1126
E0000,1127
E0000,1131
E0000,1137
E0000,1138
E0000,1140
E0000,1144
E0000,1146
E0000,1150
E0000,1156
E0000,1163
E0000,1171
E0000,1193
E0000,1194
E0000,1204
E0000,1208
E0000,1215
E0000,1222
E0000,1226
E0000,1227
E0000,1234
E0000,1235
E0000,1240
E0000,1241
E0000,1243
E0000,1245
E0000,1248
E0000,1249
E0000,1251
E0000,1255
E0000,1257
E0000,1258
E0000,1261
E0000,1262
E0000,1475
E0000,1476
E0000,1501
E0000,1502
E0000,1504
E0000,1505
E0000,1511
E0000,1512
E0000,1519
E0000,1520
E0000,1537
E0000,1539
E0000,1540
E0000,1541
E0000,1542
E0000,1543
E0000,1544
E0000,1545
E0000,1547
E0000,1549
E0000,1554
E0000,1557
E0000,1559
E0000,1563
E0000,1565
E0000,1570
E0000,1572
E0000,1577
E0000,1586
E0000,1588
E0000,1591
E0000,1594
E0000,1602
E0000,1603
E0000,1604
E0000,1605
E0000,1610
E0000,1611
E0000,1613
E0000,1614
E0000,1615
E0000,1619
E0000,1620
E0000,1625
E0000,1626
E0000,1628
E0000,1631
E0000,1634
E0000,1637
E0000,1638
E0000,1639
E0000,1640
E0000,1644
E0000,1646
E0000,1647
E0000,1649
E0000,1652
E0000,1658
E0000,1662
E0000,1663
E0000,1664
E0000,1665
E0000,1666
E0000,1668
E0000,1670
E0000,1672
E0000,1675
E0000,1676
E0000,1677
E0000,1679
E0000,1680
E0000,1682
E0000,1683
E0000,1684
E0000,1685
E0000,1686
E0000,1687
E0000,1688
E0000,1689
E0000,1692
E0000,1694
E0000,1695
E0000,1696
E0000,1697
E0000,1699
E0000,1700
E0000,1701
E0000,1702
E0000,1709
E0000,1710
E0000,1713
E0000,1715
E0000,1716
E0000,1717
E0000,1718
E0000,1719
E0000,1721
E0000,1722
E0000,1727
E0000,1729
E0000,1730
E0000,1731
E0000,1734
E0000,1735
E0000,1738
E0000,1740
E0000,1741
E0000,1743
E0000,1769
E0000,1770
E0000,1772
E0000,1781
E0000,1783
E0000,1788
E0000,1791
E0000,1793
E0000,1804
E0000,1807
E0000,1810
E0000,1813
E0000,1815
E0000,1821
E0000,1825
E0000,1830
E0000,1854
E0000,1856
E0000,1876
E0000,1891
E0000,1922
E0000,1942
E0000,1944
E0000,1958
E0000,1960
E0000,1963
E0000,1965
E0000,1973
E0000,2022
E0000,2023
E0000,2038
E0000,2043
E0000,2049
E0000,2064
E0000,2070
E0000,2083
E0000,2084
E0000,2085
E0000,2092
E0000,2097
E0000,2108
E0000,2110
E0000,2111
E0000,2121
E0000,2133
E0000,2134
E0000,2170
E0000,2172
E0000,2184
E0000,2188
E0000,2190
E0000,2193
E0000,2207
E0000,2212
E0000,2222
E0000,2223
E0000,2224
E0000,2245
E0000,2417
E0000,2512
E0000,2517
E0000,2591
E0000,2593
E0000,2607
E0000,2621
E0000,2627
E0000,2663
E0000,2777
E0000,2792
E0000,2848
E0000,2906
E0000,2915
E0000,2970
E0000,2973
E0000,2977
E0000,3486
E0000,3492
E0000,3545
E0000,3618
E0000,3732
E0000,3751
E0000,3768
E0000,3798
E0000,3800
E0000,3801
E0000,3802
E0000,3827
E0000,3851
E0000,3942
E0000,3945
E0000,3959
E0000,4005
E0000,4018
E0000,4019
E0000,4020
E0000,4083
E0000,4106
E0000,4280
E0000,4310
E0000,4336
E0000,4341
E0000,4344
E0000,4364
E0000,4464
E0000,4603
E0000,4724
E0000,4816
E0000,4817
E0000,4905
E0000,5050
E0000,5056
E0000,5071
E0000,5110
E0000,5136
E0000,5139
E0000,5140
E0000,5141
E0000,5142
E0000,5143
E0000,5145
E0000,5146
E0000,5154
E0000,5155
E0000,5156
E0000,5159
E0000,5160
E0000,5161
E0000,5191
E0000,5192
E0000,5196
E0000,5198
E0000,5203
E0000,5263
E0000,5280
E0000,5285
E0000,5314
E0000,5402
E0000,5408
E0000,5432
E0000,5442
E0000,5552
E0000,5573
E0000,5578
E0000,5582
E0000,5583
E0000,5585
E0000,5595
E0000,5596
E0000,5620
E0000,5634
E0000,5635
E0000,5639
E0000,5655
E0000,5656
E0000,5665
E0000,5667
E0000,5670
E0000,5671
E0000,5676
E0000,5682
E0000,5689
E0000,5739
E0000,5745
E0000,5750
E0000,5756
E0000,5758
E0000,5759
E0000,5762
E0000,5763
E0000,5768
E0000,5770
E0000,5789
E0000,6001
E0000,6003
E0000,6004
E0000,6047
E0000,6054
E0000,6059
E0000,6064
E0000,6148
E0000,6152
E0000,6153
E0000,6154
E0000,6157
E0000,6158
E0000,6159
E0000,6163
E0000,6175
E0000,6176
E0000,6180
E0000,6225
E0000,6240
E0000,6243
E0000,6247
E0000,6251
E0000,6255
E0000,6261
E0000,6263
E0000,6277
E0000,6297
E0000,6309
E0000,6362
E0000,6373
E0000,6376
E0000,6380
E0000,6382
E0000,6384
E0000,6416
E0000,6437
E0000,6449
E0000,6450
E0000,6451
E0000,6460
E0000,6487
E0000,6489
E0000,6490
E0000,6503
E0000,6647
E0000,6701
E0000,6703
E0000,6711
E0000,6768
E0000,6771
E0000,6780
E0000,6789
E0000,6797
E0000,6799
E0000,6807
E0000,6808
E0000,6829
E0000,6833
E0000,6837
E0000,6842
E0000,6896
E0000,6924
E0000,7008
E0000,7009
E0000,7064
E0000,7075
E0000,7079
E0000,7081
E0000,7082
E0000,7085
E0000,7089
E0000,7093
E0000,7100
E0000,7101
E0000,7108
E0000,7110
E0000,7121
E0000,7124
E0000,7127
E0000,7128
E0000,7131
E0000,7137
E0000,7138
E0000,7150
E0000,7154
E0000,7156
E0000,7165
E0000,7166
E0000,7170
E0000,7172
E0000,7179
E0000,7181
E0000,7185
E0000,7186
E0000,7189
E0000,7190
E0000,7193
E0000,7197
E0000,7198
E0000,7200
E0000,7201
E0000,7202
E0000,7203
E0000,7205
E0000,7210
E0000,7212
E0000,7215
E0000,7216
E0000,7225
E0000,7228
E0000,7241
E0000,7249
E0000,7252
E0000,7258
E0000,7260
E0000,7262
E0000,7269
E0000,7277
E0000,7280
E0000,7284
E0000,7287
E0000,7298
E0000,7308
E0000,7314
E0000,7317
E0000,7318
E0000,7319
E0000,7330
E0000,7331
E0000,7344
E0000,7346
E0000,7347
E0000,7369
E0000,7374
E0000,7379
E0000,7381
E0000,7388
E0000,7394
E0000,7395
E0000,7397
E0000,7398
E0000,7402
E0000,7404
E0000,7405
E0000,7406
E0000,7424
E0000,7433
E0000,7451
E0000,7463
E0000,7475
E0000,7483
E0000,7495
E0000,7523
E0000,7560
E0000,7561
E0000,8038
E0000,8046
E0000,8051
E0000,8056
E0000,8083
E0000,8095
E0000,8108
E0000,8119
E0000,8120
E0000,8124
E0000,8127
E0000,8133
E0000,8137
E0000,8139
E0000,8149
E0000,8154
E0000,8155
E0000,8157
E0000,8165
E0000,8167
E0000,8171
E0000,8192
E0000,8194
E0000,8195
E0000,8521
E0000,8532
E0000,8533
E0000,8538
E0000,8590
E0000,8633
E0000,8652
E0000,8660
E0000,8721
E0000,8726
E0000,8764
E0000,8769
E0000,8775
E0000,8787
E0000,8795
E0000,8955
E0000,8982
E0000,8984
E0000,8986
E0000,8987
E0000,8992
E0000,8998
E0000,9005
E0000,9006
E0000,9008
E0000,9012
E0000,9013
E0000,9021
E0000,9022
E0000,9023
E0000,9024
E0000,9026
E0000,9029
E0000,9033
E0000,9050
E0000,9055
E0000,9061
E0000,9062
E0000,9066
E0000,9069
E0000,9070
E0000,9071
E0000,9072
E0000,9084
E0000,9092
E0000,9093
E0000,9095
E0000,9101
E0000,9106
E0000,9109
E0000,9115
E0000,9118
E0000,9124
E0000,9130
E0000,9135
E0000,9136
E0000,9142
E0000,9149
E0000,9151
E0000,9240
E0000,9243
E0000,9553
E0000,9580
E0000,9597
E0000,9600
E0000,9603
E0000,9618
E0000,9650
E0000,9655
E0000,9662
E0000,9669
E0000,9673
E0000,9698
E0000,9700
E0000,9943
E0000,10002
E0000,10005
E0000,10006
E0000,10008
E0000,10014
E0000,10029
E0000,10044
E0000,10049
E0000,10051
E0000,10052
E0000,10053
E0000,10063
E0000,10091
E0000,10096
E0000,10112
E0000,10114
E0000,10144
E0000,10154
E0000,10157
E0000,10169
E0000,10473
E0000,10516
E0000,10601
E0000,10622
E0000,10833
E0000,10838
E0000,10842
E0000,11008
E0000,11055
E0000,11070
E0000,11095
E0000,11109
E0000,11112
E0000,11121
E0000,11122
E0000,11184
E0000,11188
E0000,11201
E0000,11221
E0000,11291
E0000,11299
E0000,11302
E0000,11303
E0000,11304
E0000,11310
E0000,11312
E0000,11316
E0000,11318
E0000,11322
E0000,11325
E0000,11326
E0000,11328
E0000,11330
E0000,11331
E0000,11340
E0000,11348
E0000,11350
E0000,11354
E0000,11355
E0000,11365
E0000,11609
E0000,11648
E0000,11687
E0000,11695
E0000,11706
E0000,11715
E0000,11724
E0000,11762
E0000,11793
E0000,11794
E0000,11799
E0000,11800
E0000,11812
E0000,11814
E0000,11823
E0000,11834
E0000,11838
E0000,11842
E0000,11851
E0000,11855
E0000,11858
E0000,11860
E0000,11868
E0000,11890
E0000,11894
E0000,11895
E0000,11899
E0000,11900
E0000,11903
E0000,11907
E0000,11908
E0000,11909
E0000,11910
E0000,11913
E0000,11925
E0000,11927
E0000,11931
E0000,11936
E0000,11941
