thread_id,doc_id,fecha,familia
H0000,2250,2022-02-23,1
H0000,3134,2022-05-26,4
H0000,6830,2022-06-08,3
H0000,6832,2022-06-09,3
H0000,3214,2022-06-13,3
H0000,2938,2022-06-15,4
H0000,3081,2022-06-15,3
H0000,22328,2022-06-17,3
H0000,22337,2022-06-17,3
H0000,3207,2022-06-17,3
H0000,3250,2022-06-17,3
H0000,3266,2022-06-17,3
H0000,3275,2022-06-17,3
H0000,6736,2022-06-17,3
H0000,6737,2022-06-17,3
H0000,6740,2022-06-17,3
H0000,6742,2022-06-17,3
H0000,19502,2022-06-18,3
H0000,22315,2022-06-18,3
H0000,22334,2022-06-18,3
H0000,22356,2022-06-18,3
H0000,2953,2022-06-18,3
H0000,3232,2022-06-18,3
H0000,3245,2022-06-18,3
H0000,3255,2022-06-18,3
H0000,3279,2022-06-18,3
H0000,10049,2022-06-19,4
H0000,22321,2022-06-19,3
H0000,22348,2022-06-19,3
H0000,22360,2022-06-19,3
H0000,3274,2022-06-19,3
H0000,10169,2022-06-20,0
H0000,22309,2022-06-20,3
H0000,22311,2022-06-20,3
H0000,22318,2022-06-20,3
H0000,22344,2022-06-20,3
H0000,3197,2022-06-20,3
H0000,3248,2022-06-20,3
H0000,3271,2022-06-20,3
H0000,3281,2022-06-20,3
H0000,6727,2022-06-20,3
H0000,7224,2022-06-20,3
H0000,639,2022-06-21,3
H0000,22320,2022-06-21,3
H0000,2966,2022-06-21,3
H0000,3256,2022-06-21,3
H0000,6743,2022-06-21,3
H0000,616,2022-06-22,3
H0000,10008,2022-06-22,12
H0000,22319,2022-06-22,3
H0000,3233,2022-06-22,3
H0000,3257,2022-06-22,3
H0000,6722,2022-06-22,3
H0000,18429,2022-06-23,3
H0000,22339,2022-06-23,3
H0000,3254,2022-06-23,3
H0000,6739,2022-06-23,3
H0000,607,2022-06-24,3
H0000,3235,2022-06-24,3
H0000,3219,2022-06-25,3
H0000,6719,2022-06-25,3
H0000,22353,2022-06-26,3
H0000,22359,2022-06-26,3
H0000,3224,2022-06-27,3
H0000,3227,2022-06-27,3
H0000,2957,2022-06-28,3
H0000,22341,2022-06-29,3
H0000,565,2022-06-30,1
H0000,22346,2022-06-30,3
H0000,3277,2022-06-30,3
H0000,6721,2022-06-30,3
H0000,3249,2022-07-02,3
H0000,3230,2022-07-03,3
H0000,3223,2022-07-05,3
H0000,3272,2022-07-05,3
H0000,6715,2022-07-12,3
H0000,6723,2022-07-16,3
H0000,22266,2022-08-01,3
H0000,7232,2022-08-04,3
H0000,3259,2022-08-09,3
H0000,7234,2022-08-09,3
H0000,3282,2022-08-10,3
H0000,3280,2022-08-19,3
H0000,3242,2022-10-18,3
H0000,603,2022-10-19,3
H0000,7233,2022-11-30,3
H0000,3243,2022-12-01,3
H0000,6725,2022-12-12,3
H0000,592,2022-12-29,3
H0000,6738,2023-01-11,3
H0000,3263,2023-01-23,3
H0000,3234,2023-03-06,3
H0000,3283,2023-03-07,3
H0000,3273,2023-03-08,3
H0000,3216,2023-03-15,3
H0000,3195,2023-04-13,3
H0000,3225,2023-04-20,3
H0000,3236,2023-04-20,3
H0000,7237,2023-04-20,3
H0000,3260,2023-05-18,3
H0000,3247,2023-05-21,3
H0000,3244,2023-05-30,3
H0000,597,2023-05-31,3
H0000,3199,2023-05-31,3
H0000,3203,2023-05-31,3
H0000,3210,2023-05-31,3
H0000,3221,2023-05-31,3
H0000,3253,2023-05-31,3
H0000,3265,2023-05-31,3
H0000,3278,2023-05-31,3
H0000,6724,2023-05-31,3
H0000,6746,2023-05-31,3
H0000,7235,2023-05-31,3
H0000,2932,2023-06-01,3
H0000,3284,2023-06-01,3
H0000,2951,2023-06-02,4
H0000,2976,2023-06-02,3
H0000,3246,2023-06-03,3
H0000,3252,2023-06-06,3
H0000,2906,2023-06-10,1
H0000,588,2023-06-22,3
H0000,7229,2023-07-17,3
H0000,6735,2023-09-25,3
H0000,3218,2023-09-29,3
H0000,3241,2023-10-03,3
H0000,3268,2023-10-03,3
H0000,3229,2023-11-04,3
H0000,3211,2024-05-09,3
H0000,3212,2024-05-09,3
H0000,3240,2024-05-31,3
H0000,3239,2024-07-25,3
H0000,3262,2024-07-25,3
H0000,3465,2024-07-28,3
H0000,3435,2024-08-01,3
H0000,7236,2024-09-02,3
H0000,3237,2024-10-10,3
H0000,3258,2025-01-30,3
H0000,7238,2025-02-03,3
H0001,1638,2021-04-21,7
H0001,1734,2021-04-28,22
H0001,1615,2021-08-11,-1
H0001,1628,2021-08-11,-1
H0001,1629,2021-08-11,25
H0001,1631,2021-08-11,-1
H0001,1670,2021-08-11,7
H0001,15142,2021-08-11,7
H0001,1626,2021-08-12,7
H0001,1637,2021-08-12,7
H0001,16802,2021-08-12,7
H0001,1741,2021-08-13,14
H0001,18334,2021-08-13,7
H0001,1611,2021-08-14,25
H0001,1718,2021-08-16,5
H0001,16793,2021-08-28,7
H0001,16800,2021-09-28,11
H0001,1610,2021-10-05,25
H0001,1639,2021-10-05,7
H0001,1729,2021-10-19,14
H0001,1745,2021-10-27,27
H0001,1602,2021-11-17,7
H0001,1634,2022-01-12,7
H0001,15138,2022-01-12,27
H0001,23170,2022-01-12,7
H0001,16813,2022-01-13,8
H0001,1665,2022-01-17,5
H0001,1614,2022-04-07,25
H0001,1668,2022-04-07,11
H0001,15146,2022-04-07,5
H0001,1709,2022-04-25,5
H0001,15166,2022-07-21,7
H0001,16798,2022-12-29,15
H0001,1721,2022-12-31,5
H0001,1647,2023-01-11,5
H0001,1597,2023-01-13,27
H0001,1743,2023-01-14,11
H0001,1731,2023-01-15,22
H0001,1710,2023-01-17,5
H0001,1604,2023-01-18,7
H0001,1613,2023-01-18,25
H0001,1640,2023-01-18,5
H0001,1664,2023-01-18,5
H0001,1666,2023-01-18,7
H0001,1727,2023-01-18,7
H0001,8775,2023-01-18,7
H0001,15141,2023-01-18,5
H0001,15148,2023-01-18,7
H0001,16803,2023-01-18,7
H0001,16804,2023-01-18,7
H0001,17369,2023-01-19,6
H0001,23164,2023-01-19,7
H0001,1735,2023-01-20,7
H0001,16812,2023-02-24,7
H0001,1680,2023-06-30,5
H0001,15137,2023-06-30,7
H0001,15152,2023-07-28,5
H0001,1663,2023-12-20,5
H0001,1682,2023-12-21,5
H0001,15154,2023-12-26,7
H0001,1658,2024-12-10,5
H0001,7166,2024-12-10,10
H0001,7179,2024-12-10,10
H0001,7212,2024-12-10,7
H0001,7216,2024-12-10,7
H0001,16797,2024-12-10,11
H0001,15164,2024-12-11,5
H0001,1588,2024-12-12,25
H0001,15132,2024-12-12,7
H0001,1692,2024-12-16,5
H0001,1688,2024-12-17,7
H0001,7165,2024-12-17,10
H0001,5870,2024-12-18,27
H0001,15123,2024-12-19,7
H0001,1689,2024-12-22,5
H0001,18323,2024-12-23,7
H0001,23173,2024-12-23,7
H0001,1591,2024-12-27,15
H0001,1686,2024-12-27,27
H0001,16792,2024-12-30,7
H0001,17279,2024-12-31,7
H0001,7205,2025-01-02,7
H0001,15130,2025-01-04,27
H0001,1572,2025-01-07,13
H0001,1559,2025-01-08,13
H0001,1586,2025-01-08,13
H0001,1662,2025-01-08,5
H0001,16794,2025-01-08,7
H0001,16796,2025-01-08,22
H0001,1563,2025-01-09,25
H0001,1713,2025-01-09,5
H0001,1719,2025-01-09,7
H0001,7185,2025-01-09,27
H0001,15126,2025-01-09,7
H0001,1565,2025-01-10,27
H0001,1594,2025-01-10,7
H0001,15131,2025-01-10,7
H0001,1590,2025-02-10,27
H0001,17282,2025-02-17,7
H0001,7181,2025-02-18,11
H0001,7186,2025-02-18,7
H0001,7189,2025-02-18,7
H0001,7215,2025-02-18,7
H0001,15127,2025-02-18,7
H0001,17268,2025-02-18,7
H0001,17275,2025-03-25,7
H0001,1679,2025-05-07,5
H0001,19050,2025-05-17,7
H0001,1676,2025-05-20,5
H0001,1677,2025-05-20,7
H0001,1685,2025-05-27,5
H0001,7170,2025-05-30,5
H0001,1570,2025-06-03,13
H0001,7137,2025-06-12,7
H0001,7190,2025-06-12,10
H0001,16790,2025-06-12,7
H0001,7172,2025-06-13,11
H0001,17588,2025-06-13,16
H0001,6833,2025-06-16,13
H0001,1701,2025-07-29,5
H0001,1683,2025-07-31,5
H0001,1554,2025-08-14,27
H0001,1684,2025-08-14,7
H0001,15120,2025-08-15,7
H0001,1557,2025-08-27,13
H0001,1687,2025-08-28,5
H0001,1652,2025-09-17,7
H0001,7197,2025-09-17,7
H0001,19044,2025-09-17,7
H0001,19043,2025-09-22,7
H0001,19052,2025-12-03,7
H0002,1205,2023-04-20,-1
H0002,1932,2023-04-21,-1
H0002,41,2023-05-04,13
H0002,970,2023-05-04,25
H0002,2210,2023-05-04,25
H0002,978,2023-05-05,13
H0002,1928,2023-05-05,13
H0002,1930,2023-05-05,13
H0002,983,2023-05-08,25
H0002,2211,2023-05-10,25
H0002,2206,2023-05-11,13
H0002,1088,2023-05-20,11
H0002,1242,2023-06-12,13
H0002,1551,2023-06-15,13
H0002,6416,2023-06-29,13
H0002,1244,2023-06-30,-1
H0002,1933,2023-06-30,13
H0002,1954,2023-06-30,13
H0002,1972,2023-06-30,13
H0002,301,2023-07-03,25
H0002,271,2023-07-06,11
H0002,1277,2023-10-26,13
H0002,1275,2023-11-10,11
H0002,1225,2024-01-16,13
H0002,2120,2024-03-26,-1
H0002,2209,2024-04-11,13
H0002,1281,2024-05-09,5
H0002,1568,2024-05-28,13
H0002,1284,2024-05-30,5
H0002,5763,2024-06-14,2
H0002,1550,2024-06-25,13
H0002,1339,2024-07-25,13
H0002,39,2024-10-31,13
H0002,1580,2024-12-04,13
H0002,1218,2024-12-30,-1
H0002,18021,2025-01-03,-1
H0002,1576,2025-01-09,13
H0002,1211,2025-01-14,11
H0002,1279,2025-01-28,5
H0002,1173,2025-03-25,11
H0002,1176,2025-05-29,13
H0002,1536,2025-06-12,13
H0002,105,2025-06-30,5
H0002,1895,2025-06-30,5
H0002,1899,2025-07-01,5
H0002,1906,2025-07-15,13
H0002,1691,2025-07-16,13
H0002,1535,2025-07-17,13
H0002,1893,2025-07-17,5
H0002,73,2025-07-25,11
H0002,305,2025-07-31,13
H0002,1259,2025-07-31,11
H0002,1260,2025-08-01,13
H0002,1678,2025-08-01,11
H0002,2163,2025-08-03,25
H0002,8095,2025-08-18,25
H0002,1159,2025-08-20,11
H0002,1386,2025-08-21,14
H0002,1892,2025-09-01,5
H0002,1237,2025-09-13,13
H0002,1169,2025-09-14,13
H0002,2094,2025-09-14,13
H0002,1177,2025-09-15,13
H0002,2199,2025-09-15,13
H0002,1064,2025-09-16,13
H0002,1669,2025-09-22,13
H0002,1860,2025-09-22,5
H0002,1661,2025-09-23,-1
H0002,1078,2025-09-24,11
H0002,1162,2025-09-29,13
H0002,1656,2025-09-29,14
H0002,1157,2025-10-02,13
H0002,1690,2025-10-26,5
H0002,1904,2025-10-27,5
H0002,1862,2025-11-10,5
H0002,1888,2025-11-10,5
H0002,1885,2025-11-11,5
H0002,1859,2025-11-14,5
H0002,1065,2025-11-20,25
H0002,1872,2025-11-22,5
H0002,1161,2025-11-25,13
H0002,1152,2025-11-26,13
H0002,1871,2025-12-03,5
H0002,1903,2025-12-10,5
H0002,1232,2025-12-16,13
H0002,1890,2025-12-16,5
H0002,1149,2025-12-17,13
H0002,1233,2025-12-17,13
H0002,1470,2025-12-19,5
H0002,1653,2025-12-19,5
H0002,1704,2025-12-19,5
H0002,1843,2025-12-19,5
H0002,1846,2025-12-19,5
H0002,1881,2025-12-19,5
H0002,1887,2025-12-19,5
H0002,1889,2025-12-19,5
H0002,1900,2025-12-19,5
H0002,1905,2025-12-19,5
H0002,1874,2025-12-20,5
H0002,1868,2025-12-23,5
H0002,1902,2025-12-23,5
H0002,1870,2025-12-25,5
H0002,1840,2026-01-13,5
H0002,1861,2026-01-27,5
H0002,1852,2026-01-28,5
H0002,1153,2026-01-30,-1
H0002,1909,2026-01-30,-1
H0002,1910,2026-01-30,-1
H0002,1911,2026-01-30,13
H0002,1912,2026-01-30,13
H0002,1913,2026-01-30,13
H0002,1915,2026-01-30,-1
H0002,1988,2026-01-30,-1
H0002,1229,2026-02-03,13
H0003,5690,2023-12-31,2
H0003,5567,2024-07-24,2
H0003,5559,2024-07-25,2
H0003,5565,2024-07-29,2
H0003,5664,2024-07-29,2
H0003,4253,2024-07-30,2
H0003,5564,2024-07-31,2
H0003,5590,2024-07-31,2
