doc_i,doc_j,dias,s_ref,s_emb,w
7216,18323,13,0.4205,0.7783,0.5278
7216,19043,286,0.2961,0.9183,0.4827
7216,19044,281,0.4205,0.8566,0.5513
7216,19050,158,0.4205,0.9326,0.5741
7216,19052,358,0.4205,0.8942,0.5626
7216,23173,13,0.4205,0.9289,0.573
7225,7228,1,0.6364,0.9387,0.7271
7241,7269,147,0.9371,0.6876,0.8623
7249,14512,172,0.8,0.6672,0.7602
7252,9109,116,0.6674,0.7747,0.6996
7252,6017,871,0.6674,0.825,0.7147
7252,6351,932,0.6674,0.7276,0.6854
7255,11941,1093,0.5,0.6207,0.5362
7260,15179,39,0.3391,0.7955,0.476
7260,15185,252,0.3391,0.798,0.4768
7260,3418,14,0.3391,0.8881,0.5038
7261,17309,120,0.5709,0.6734,0.6016
7261,1748,672,0.7746,0.7028,0.753
7261,1755,308,0.6204,0.6259,0.622
7261,1756,682,0.9204,0.6737,0.8464
7261,1757,132,0.4458,0.6938,0.5202
7261,1758,138,0.9204,0.6914,0.8517
7262,7287,4,0.4364,0.9651,0.595
7277,7298,1,0.2733,0.9359,0.4721
7280,7298,1,0.2733,0.9251,0.4689
7284,7298,1,0.2733,0.9313,0.4707
7298,20500,84,0.4733,0.5995,0.5112
7298,20508,88,0.4733,0.6538,0.5275
7308,7317,151,0.4364,0.6866,0.5114
7318,15105,428,0.6329,0.6274,0.6312
7331,17112,49,0.7431,0.5844,0.6955
7331,17114,44,0.7431,0.6307,0.7094
7331,20092,51,0.7431,0.7523,0.7459
7331,23160,40,0.7431,0.6042,0.7014
7344,17112,50,0.4014,0.611,0.4643
7344,17114,45,0.2686,0.9208,0.4642
7344,20092,52,0.4686,0.7591,0.5557
7344,23160,41,0.4686,0.8094,0.5708
7346,7398,60,0.9501,0.8285,0.9137
7346,17360,1,0.8,0.6892,0.7668
7388,19018,1020,1.0,0.7708,0.9312
7388,6355,894,0.8,0.6945,0.7684
7397,2882,125,0.2787,0.8554,0.4517
7398,17360,59,0.8,0.626,0.7478
7406,11008,27,0.4165,0.7775,0.5248
7406,17252,252,0.4165,0.6956,0.5002
7406,17287,242,0.9165,0.8562,0.8984
7406,21440,1,0.4165,0.8616,0.55
7406,1266,75,0.4686,0.8039,0.5692
7433,14016,352,0.3,0.9439,0.4932
7523,4407,281,0.3,0.928,0.4884
7523,4412,283,0.3,0.9391,0.4917
7561,18435,63,0.5,0.7462,0.5738
8038,4248,88,0.8,0.8801,0.824
8038,4362,525,1.0,0.8468,0.9541
8038,4397,499,0.5,0.7638,0.5791
8046,17609,253,0.4288,0.6544,0.4965
8054,8039,165,0.4787,0.7175,0.5503
8095,1211,216,0.672,0.8587,0.728
8108,9026,725,0.6482,0.7378,0.6751
8119,9071,247,0.4234,0.5127,0.4502
8132,17450,106,0.6104,0.6385,0.6188
8132,6409,213,0.4717,0.5687,0.5008
8132,6427,166,0.4717,0.7223,0.5469
8132,6428,223,0.4717,0.6942,0.5385
8132,6446,221,0.4717,0.5294,0.489
8132,6452,53,0.4717,0.4612,0.4686
8132,6456,245,0.4717,0.6333,0.5202
8132,6458,52,0.4717,0.5084,0.4827
8132,6466,300,0.4717,0.6105,0.5134
8137,8139,1,0.915,0.8362,0.8914
8137,8154,26,0.4288,0.6891,0.5069
8137,8157,1,0.915,0.8744,0.9028
8137,401,175,0.7649,0.6572,0.7326
8139,8154,27,0.4288,0.7034,0.5112
8139,8157,2,0.915,0.8525,0.8963
8139,401,176,0.7649,0.7409,0.7577
8154,8157,25,0.4288,0.7152,0.5147
8155,17638,1,0.8896,0.9254,0.9003
8157,401,174,0.7649,0.7683,0.7659
8165,2368,665,0.604,0.9139,0.697
8165,2372,25,0.604,0.9095,0.6956
8165,3322,26,0.604,0.8601,0.6808
8167,9062,547,0.5147,0.5223,0.517
8167,11310,1,0.3147,0.7792,0.454
8167,18998,7,0.3147,0.7852,0.4559
8201,8202,2,0.5,0.8008,0.5902
8538,18028,824,0.6123,0.5082,0.5811
8538,1774,3,0.6123,0.5182,0.5841
8538,1946,638,0.6123,0.4907,0.5758
8633,11609,130,0.4862,0.7299,0.5593
8644,2995,219,0.3823,0.6456,0.4613
8652,8660,10,0.6668,0.9273,0.7449
8726,6366,242,0.2733,0.8971,0.4605
8764,13827,481,0.5,0.8866,0.616
8775,15120,940,0.6149,0.7071,0.6426
8775,15137,163,0.4205,0.8403,0.5464
8775,15146,286,0.4205,0.5725,0.4661
8775,15166,181,0.4205,0.8236,0.5414
8775,23164,1,0.4205,0.9416,0.5768
8795,3582,2,0.7917,0.5759,0.727
8986,15341,306,0.4121,0.7777,0.5217
8986,7145,264,0.4121,0.891,0.5557
8986,7146,99,0.4121,0.8777,0.5518
8986,7149,92,0.6622,0.9133,0.7375
8986,7153,92,0.4121,0.9036,0.5595
8986,7159,624,0.6622,0.901,0.7339
8998,13054,32,0.5,0.5867,0.526
9022,10091,2,0.5,0.5095,0.5028
9022,12148,3,0.5,0.5851,0.5255
9022,13801,1050,0.7158,0.5302,0.6601
9022,19883,749,0.5,0.5719,0.5216
9031,11299,10,0.5541,0.6251,0.5754
9031,19005,14,0.5541,0.6579,0.5853
9031,19017,341,0.5541,0.7091,0.6006
9033,9050,1028,0.5147,0.7115,0.5737
9033,9062,498,0.7592,0.814,0.7756
9033,9066,841,0.5592,0.6683,0.5919
9033,11290,291,0.5592,0.5713,0.5628
9033,17649,49,0.5592,0.6056,0.5731
9033,19002,49,0.5592,0.6583,0.5889
9050,9062,530,0.5147,0.653,0.5562
9050,11304,180,0.3147,0.8884,0.4868
9050,11310,1078,0.5541,0.8973,0.6571
9050,11312,1075,0.5541,0.7775,0.6211
9050,11328,1077,0.5541,0.8761,0.6507
9050,18998,1084,0.5541,0.9126,0.6617
9050,19000,1069,0.5541,0.7981,0.6273
9050,19011,167,0.3147,0.7694,0.4511
9062,11290,207,0.5592,0.5042,0.5427
9062,17649,547,0.7592,0.5935,0.7095
9062,19002,547,0.5592,0.6248,0.5789
9066,11299,335,0.3147,0.8791,0.484
9066,11303,334,0.3147,0.8809,0.4846
9066,11306,325,0.5592,0.6652,0.591
9066,11318,317,0.3147,0.7834,0.4553
9066,11326,314,0.3147,0.9139,0.4945
9066,17649,792,0.5592,0.6962,0.6003
9066,19002,792,0.5592,0.909,0.6641
9066,19005,331,0.3147,0.7902,0.4573
9066,19017,4,0.3147,0.8303,0.4694
9066,19019,304,0.5592,0.5679,0.5618
9067,9138,2,0.927,0.6838,0.854
9067,16934,20,0.927,0.574,0.8211
9069,6415,7,0.4717,0.8245,0.5775
9069,6438,164,0.4717,0.7794,0.564
9069,6464,164,0.4717,0.7848,0.5657
9069,6465,32,0.4717,0.7609,0.5585
9069,6470,164,0.4717,0.7833,0.5652
9070,6426,69,0.4419,0.5374,0.4705
9070,6427,322,0.4894,0.5351,0.5032
9070,6447,69,0.5313,0.5395,0.5338
9070,6462,70,0.5313,0.5402,0.534
9071,6445,157,0.3814,0.6575,0.4642
9071,6471,284,0.3814,0.6185,0.4525
9072,6386,312,0.4717,0.606,0.512
9072,6408,626,0.6406,0.6179,0.6338
9072,6409,321,0.4717,0.5893,0.507
9072,6418,405,0.6406,0.5905,0.6255
9072,6420,284,0.4717,0.5525,0.496
9072,6428,311,0.4717,0.6398,0.5221
9072,6430,327,0.6406,0.5419,0.611
9072,6432,462,0.6406,0.5146,0.6028
9072,6439,31,0.4717,0.573,0.5021
9072,6446,755,0.6406,0.5149,0.6029
9072,6452,587,0.6406,0.5166,0.6034
9072,6463,216,0.4717,0.5612,0.4986
9084,1515,89,0.3123,0.8598,0.4766
9084,1871,640,0.6123,0.8539,0.6848
9084,1921,57,0.2791,0.8641,0.4546
9084,1925,89,0.2791,0.8598,0.4533
9084,1970,66,0.2791,0.8556,0.4521
9084,1986,190,0.3123,0.8575,0.4759
9092,5983,60,0.4645,0.6069,0.5072
9092,6028,85,0.4645,0.7535,0.5512
9092,6040,207,0.4645,0.6499,0.5201
9092,6375,941,0.6645,0.6514,0.6606
9093,9095,138,0.4476,0.8602,0.5714
9093,5988,88,0.6804,0.6017,0.6568
9093,5993,71,0.6804,0.5521,0.6419
9095,5911,137,0.4476,0.4956,0.462
9095,5988,50,0.4476,0.7636,0.5424
9095,5993,67,0.4476,0.6447,0.5067
9106,6226,6,0.7917,0.8597,0.8121
9109,6017,755,0.6674,0.7923,0.7049
9109,6351,816,0.6674,0.6856,0.6728
9115,11188,291,0.4404,0.8496,0.5632
9115,6017,490,0.6674,0.8873,0.7333
9115,6351,429,0.6674,0.7286,0.6857
9136,11184,14,0.3866,0.8472,0.5248
9136,23113,232,0.3866,0.8704,0.5318
9138,16934,18,0.927,0.5616,0.8174
9151,18057,1,0.5,0.7305,0.5691
9600,18287,670,0.5,0.6772,0.5531
9655,14577,151,0.2419,0.9411,0.4517
9673,7656,415,0.5,0.5547,0.5164
10002,10052,1,0.365,0.8032,0.4965
10008,22334,4,0.5,0.6177,0.5353
10008,22337,5,0.5,0.561,0.5183
10008,6830,14,0.5,0.7281,0.5684
10049,10169,1,0.3727,0.7993,0.5007
10049,22339,4,0.3727,0.7098,0.4738
10049,22344,1,0.3727,0.6655,0.4605
10049,22353,7,0.3727,0.7053,0.4725
10049,3195,298,0.4306,0.6987,0.5111
10049,3197,1,0.3727,0.651,0.4562
10049,3199,346,0.3727,0.6537,0.457
10049,3203,346,0.3727,0.6407,0.4531
10049,3219,6,0.3727,0.6914,0.4683
10049,3223,16,0.4306,0.7403,0.5235
10049,3232,1,0.3727,0.7224,0.4776
10049,3245,1,0.3727,0.7213,0.4773
10049,3246,349,0.3727,0.7179,0.4763
10049,3257,3,0.3727,0.7129,0.4748
10049,3260,333,0.3727,0.7038,0.472
10049,3265,346,0.3727,0.7388,0.4825
10049,3266,2,0.3727,0.6736,0.463
10049,3275,2,0.3727,0.673,0.4628
10049,3277,11,0.3727,0.7144,0.4752
10049,3283,261,0.3727,0.7059,0.4726
10049,3284,347,0.3727,0.6858,0.4666
10049,6720,977,0.5377,0.7301,0.5954
10049,6723,27,0.3727,0.7204,0.477
10049,6724,346,0.3727,0.764,0.4901
10049,6727,1,0.3727,0.7438,0.484
10049,6736,2,0.3727,0.6687,0.4615
10049,6737,2,0.3727,0.6638,0.46
10049,6739,4,0.3727,0.6706,0.4621
10049,6742,2,0.3727,0.6939,0.469
10049,7235,346,0.3727,0.7277,0.4792
10049,7237,305,0.3727,0.6503,0.456
10091,12148,5,0.5,0.6552,0.5465
10091,13801,1048,0.5,0.8014,0.5904
10091,19883,747,0.5,0.7193,0.5658
10157,2256,1,0.6836,0.5766,0.6515
10169,19502,2,0.4304,0.7004,0.5114
10169,22315,2,0.4304,0.5697,0.4722
10169,22319,2,0.4304,0.5901,0.4783
10169,22320,1,0.7152,0.5628,0.6695
10169,22321,1,0.7152,0.6333,0.6906
10169,22339,3,0.3727,0.6487,0.4555
10169,22353,6,0.3727,0.665,0.4604
10169,3219,5,0.4656,0.6561,0.5228
10169,3232,2,0.3727,0.6931,0.4688
10169,3245,2,0.3727,0.7072,0.473
10169,3246,348,0.3727,0.6926,0.4687
10169,3255,2,0.4304,0.6085,0.4839
10169,3257,2,0.3727,0.678,0.4643
10169,3260,332,0.3727,0.6425,0.4536
10169,3265,345,0.3727,0.7308,0.4801
10169,3266,3,0.4656,0.6514,0.5214
10169,3275,3,0.3727,0.6488,0.4555
10169,3277,10,0.3727,0.67,0.4619
10169,3283,260,0.3727,0.6762,0.4638
10169,3284,346,0.3727,0.6642,0.4602
10169,6723,26,0.3727,0.712,0.4745
10169,6724,345,0.3727,0.7121,0.4745
10169,6737,3,0.3727,0.647,0.455
10169,6739,3,0.4656,0.6534,0.522
10169,6742,3,0.3727,0.6502,0.4559
10169,6743,1,0.4304,0.6608,0.4996
10169,7235,345,0.3727,0.7002,0.4709
10601,6007,515,0.5,0.6897,0.5569
10833,6062,1,0.6804,0.6534,0.6723
10833,6123,114,0.4476,0.6147,0.4977
10833,6488,93,0.6804,0.6132,0.6602
11008,17252,225,0.4686,0.8604,0.5861
11008,17287,215,0.4686,0.8389,0.5796
11008,21440,28,0.4686,0.7519,0.5536
11008,1266,102,0.4165,0.7865,0.5275
11095,7753,24,0.5,0.9264,0.6279
11109,18923,1,0.463,0.9101,0.5971
11122,17289,271,0.3,0.8316,0.4595
11122,7565,1,0.5,0.9024,0.6207
11184,23113,246,0.3866,0.8311,0.52
11188,6017,199,0.4404,0.8739,0.5704
11188,6036,201,0.7404,0.7793,0.7521
11188,6351,138,0.4404,0.7974,0.5475
11290,17649,340,0.5592,0.5452,0.555
11290,19002,340,0.5592,0.5634,0.5605
11291,19001,566,0.5,0.8977,0.6193
11299,11303,1,0.3147,0.9303,0.4994
11299,11326,21,0.3147,0.91,0.4933
11299,19005,4,0.5541,0.854,0.6441
11299,19017,331,0.5541,0.7898,0.6248
11302,11303,2,0.4615,0.7108,0.5363
11302,11318,15,0.4615,0.9118,0.5966
11302,11326,18,0.6986,0.7932,0.727
11302,11330,4,0.4615,0.7496,0.5479
11302,11336,8,0.5147,0.7708,0.5915
11302,19005,1,0.4615,0.7185,0.5386
11302,19017,328,0.4615,0.8614,0.5815
11302,19019,28,0.4615,0.5683,0.4935
11303,11318,17,0.4615,0.7379,0.5444
11303,11326,20,0.4615,0.9069,0.5952
11303,11330,2,0.4615,0.6993,0.5329
11303,11336,10,0.4615,0.5363,0.484
11303,18993,2,0.4615,0.7108,0.5363
11303,19005,3,0.4615,0.8461,0.5769
11303,19017,330,0.4615,0.8271,0.5712
11303,19019,30,0.4615,0.5875,0.4993
11304,19011,13,0.3147,0.8674,0.4805
11306,19019,21,0.5592,0.5165,0.5464
11310,11312,3,0.5541,0.8558,0.6446
11310,11316,35,0.3147,0.9012,0.4906
11310,11328,1,0.5541,0.9406,0.6701
11310,11340,1,0.3147,0.9346,0.5007
11310,18998,6,0.5541,0.9004,0.658
11310,19000,9,0.701,0.8645,0.75
11310,19002,1,0.4615,0.9728,0.6149
11310,19012,141,0.4615,0.8069,0.5651
11310,19017,795,0.701,0.8543,0.747
11312,11316,32,0.4476,0.8664,0.5732
11312,11328,2,0.687,0.8749,0.7434
11312,11331,3,0.3147,0.8336,0.4704
11312,18998,9,0.5541,0.8261,0.6357
11312,19000,6,0.5541,0.7208,0.6041
11312,19002,2,0.3147,0.8521,0.4759
11312,19017,798,0.5541,0.6971,0.597
11316,11328,34,0.4476,0.9175,0.5886
11316,11331,35,0.3147,0.924,0.4975
11316,11340,34,0.3147,0.8167,0.4653
11316,18998,41,0.3147,0.8238,0.4674
11316,19000,26,0.3147,0.8072,0.4624
11316,19002,34,0.3147,0.8989,0.4899
11316,19012,106,0.3147,0.8673,0.4805
11318,11326,3,0.5147,0.8587,0.6179
11318,11330,19,0.4615,0.7805,0.5572
11318,11336,7,0.4615,0.7797,0.557
11318,18993,15,0.4615,0.9118,0.5966
11318,19005,14,0.4615,0.737,0.5442
11318,19017,313,0.4615,0.8694,0.5839
11318,19019,13,0.5147,0.5454,0.5239
11326,11330,22,0.4615,0.751,0.5484
11326,11336,10,0.4615,0.6055,0.5047
11326,18993,18,0.6986,0.7932,0.727
11326,19005,17,0.4615,0.887,0.5892
11326,19017,310,0.4615,0.8815,0.5875
11326,19019,10,0.5147,0.5835,0.5353
11328,11331,1,0.3147,0.9492,0.505
11328,18998,7,0.5541,0.889,0.6546
11328,19000,8,0.5541,0.8634,0.6469
11328,19012,140,0.3147,0.8068,0.4623
11328,19017,796,0.5541,0.7902,0.625
11330,11336,12,0.7615,0.5952,0.7116
11330,18993,4,0.4615,0.7496,0.5479
11330,19005,5,0.4615,0.6755,0.5257
11330,19017,332,0.4615,0.7687,0.5537
11330,19019,32,0.4615,0.5906,0.5003
11331,11340,1,0.3147,0.8991,0.49
11331,18998,6,0.3147,0.88,0.4843
11331,19000,9,0.4615,0.8702,0.5841
11331,19002,1,0.4615,0.9603,0.6112
11331,19012,141,0.4615,0.8181,0.5685
11336,18993,8,0.5147,0.7708,0.5915
11336,19005,7,0.4615,0.5397,0.485
11336,19017,320,0.4615,0.6054,0.5047
11336,19019,20,0.4615,0.4589,0.4608
11340,18998,7,0.3147,0.8666,0.4803
11340,19000,8,0.3147,0.862,0.4789
11348,6401,358,0.3814,0.8307,0.5162
11350,6407,223,0.2894,0.8393,0.4544
11350,6411,350,0.2894,0.8342,0.4529
11350,6424,284,0.2894,0.8884,0.4691
11350,6436,13,0.2894,0.8499,0.4576
11354,17627,635,0.5742,0.6624,0.6006
11354,6434,244,0.3858,0.6319,0.4596
11354,6453,254,0.3858,0.6308,0.4593
11355,6398,166,0.8547,0.6934,0.8063
11609,15344,345,0.4862,0.9156,0.615
11687,2495,1,0.5178,0.8211,0.6088
11687,2503,1,0.5178,0.9148,0.6369
11687,2509,156,0.5178,0.7938,0.6006
11687,2703,757,0.5178,0.865,0.622
11687,2704,1,0.5178,0.6795,0.5663
11687,2709,1,0.5178,0.894,0.6307
11687,2726,8,0.5178,0.7953,0.6011
11687,2739,1,0.2807,0.8674,0.4567
11687,2830,5,0.5178,0.8198,0.6084
11687,2838,10,0.5178,0.905,0.634
11695,2494,470,0.6395,0.727,0.6657
11706,22366,301,0.5799,0.5971,0.5851
11706,2434,490,0.5799,0.7187,0.6215
11706,2501,222,0.5799,0.5938,0.5841
11706,2508,628,0.5799,0.6367,0.5969
11706,2728,440,0.5799,0.5725,0.5777
11706,2736,223,0.5799,0.6636,0.605
11706,2832,230,0.5799,0.6022,0.5866
11715,22364,2,0.5564,0.6842,0.5948
11715,2706,640,0.5564,0.7395,0.6114
11715,2731,3,0.5564,0.6961,0.5983
11715,2737,1,0.5564,0.5993,0.5693
11715,2741,610,0.5564,0.6806,0.5937
11715,2758,6,0.5564,0.7466,0.6135
11715,2844,178,0.5564,0.5747,0.5619
11823,19195,52,0.7,0.5533,0.656
11834,11851,30,0.7754,0.8088,0.7854
11834,11855,158,0.5502,0.6333,0.5751
11834,19212,38,0.3476,0.7434,0.4664
11834,7103,174,0.653,0.7566,0.6841
11834,7104,190,0.653,0.7714,0.6885
11834,7114,482,0.7754,0.809,0.7855
11834,7116,133,0.3476,0.7466,0.4673
11834,7130,44,0.3476,0.8223,0.49
11834,7132,43,0.653,0.8196,0.703
11834,7141,44,0.3476,0.8234,0.4904
11838,11858,525,0.57,0.5725,0.5708
11838,19212,563,0.57,0.6719,0.6006
11838,7130,557,0.57,0.705,0.6105
11838,7141,557,0.57,0.6874,0.6052
11842,11860,235,0.5502,0.6851,0.5907
11842,7111,323,0.5502,0.7953,0.6237
11851,11855,188,0.5502,0.6694,0.5859
11851,19212,8,0.3476,0.7383,0.4648
11851,7103,204,0.653,0.6763,0.66
11851,7104,220,0.653,0.7475,0.6813
11851,7114,512,0.7754,0.7787,0.7764
11851,7116,163,0.3476,0.7136,0.4574
11851,7130,14,0.3476,0.7804,0.4775
11851,7132,13,0.653,0.7827,0.6919
11851,7141,14,0.3476,0.7727,0.4752
11855,7103,16,0.4278,0.702,0.51
11855,7104,32,0.4278,0.7733,0.5314
11855,7114,324,0.5502,0.767,0.6152
11855,7132,201,0.4278,0.8207,0.5456
11858,19211,38,0.6728,0.7662,0.7008
11858,19212,38,0.7952,0.7914,0.7941
11858,7116,209,0.3476,0.8064,0.4853
11858,7130,32,0.7952,0.8322,0.8063
11858,7141,32,0.7952,0.8348,0.8071
11860,7111,88,0.5502,0.836,0.6359
11860,7118,818,0.653,0.7245,0.6744
11868,11894,214,0.3606,0.961,0.5407
11868,11899,250,0.3606,0.9846,0.5478
11868,11900,250,0.3606,0.9726,0.5442
11868,11908,214,0.3606,0.959,0.5401
11890,11899,248,0.5963,0.962,0.706
11890,11931,231,0.5,0.9499,0.635
11890,19224,602,0.5963,0.8973,0.6866
11890,3067,231,0.3216,0.9492,0.5099
11894,11899,36,0.4642,0.9664,0.6149
11894,11900,36,0.9287,0.9702,0.9411
11894,19225,497,0.6645,0.9408,0.7474
11894,19232,16,0.825,0.5725,0.7493
11894,3061,212,0.5608,0.9601,0.6806
11894,3067,19,0.5608,0.9185,0.6681
11895,11909,685,0.7,0.9515,0.7754
11899,11908,36,0.4642,0.9658,0.6147
11899,11931,17,0.5,0.9522,0.6357
11899,19224,354,0.5963,0.915,0.6919
11900,11908,36,0.9287,0.9679,0.9405
11900,19225,533,0.6645,0.9354,0.7457
11900,19232,20,0.825,0.6052,0.7591
11900,3061,248,0.5608,0.972,0.6842
11900,3067,17,0.5608,0.9147,0.667
11908,19225,497,0.6645,0.9397,0.747
11908,19232,16,0.825,0.5715,0.749
11908,3061,212,0.5608,0.9584,0.6801
11908,3067,19,0.5608,0.9186,0.6682
11910,3072,319,0.2993,0.9202,0.4855
11910,3106,33,0.2993,0.8392,0.4613
11910,3139,30,0.2614,0.9246,0.4603
11931,19224,371,0.6836,0.8902,0.7456
11941,18391,560,0.5,0.7741,0.5822
11949,11970,293,0.3612,0.7769,0.4859
11949,11976,293,0.3612,0.8714,0.5143
11949,11977,648,0.8612,0.8504,0.858
11949,11978,775,0.8612,0.8843,0.8681
11951,11976,218,0.4168,0.6683,0.4923
11951,12036,248,0.4168,0.7357,0.5125
11951,19244,75,0.4168,0.6618,0.4903
11951,19248,270,0.4168,0.6082,0.4742
11967,12025,85,0.4005,0.7495,0.5052
11968,11976,1081,0.8612,0.851,0.8581
11968,11977,140,0.3612,0.7356,0.4735
11968,11978,13,0.3612,0.8777,0.5162
11968,11980,145,0.3612,0.8488,0.5075
11968,11988,53,0.3612,0.7479,0.4772
11968,11990,21,0.3612,0.8733,0.5148
11968,12014,32,0.3612,0.7748,0.4853
11969,11980,64,0.3612,0.6635,0.4519
11969,11990,102,0.3612,0.6645,0.4522
11969,12014,49,0.3612,0.681,0.4572
11976,19244,293,0.427,0.5673,0.4691
11976,19248,52,0.427,0.5793,0.4727
11977,11978,127,0.8612,0.8258,0.8506
11977,11980,5,0.3612,0.7596,0.4807
11977,11988,87,0.3612,0.7985,0.4924
11977,11990,161,0.3612,0.7528,0.4787
11977,12014,108,0.3612,0.8273,0.5011
11978,11980,132,0.427,0.8625,0.5576
11978,11988,40,0.3612,0.8145,0.4972
11978,11990,34,0.3612,0.8626,0.5116
11978,12014,19,0.3612,0.8562,0.5097
11980,11988,92,0.3612,0.7903,0.49
11980,11990,166,0.3612,0.8265,0.5008
11980,12014,113,0.3612,0.8769,0.5159
11988,11990,74,0.3612,0.7509,0.4781
11988,12014,21,0.3612,0.8272,0.501
11988,19263,86,0.6342,0.7892,0.6807
11990,12014,53,0.3612,0.7889,0.4895
11991,19257,3,0.4342,0.9431,0.5869
12000,19265,1,0.8612,0.6978,0.8122
12036,19244,173,0.4168,0.5348,0.4522
12140,18449,10,0.5,0.5762,0.5229
12148,13801,1053,0.5,0.6576,0.5473
12148,19883,752,0.7,0.6654,0.6896
12484,6146,524,0.6566,0.7661,0.6894
13054,13056,44,0.3,0.8595,0.4678
13690,13705,63,0.6668,0.9076,0.739
13690,13821,874,0.5,0.8167,0.595
13705,13821,811,0.5,0.8539,0.6062
13801,19883,301,0.5,0.7176,0.5653
13821,7628,309,0.3,0.8244,0.4573
13827,16764,913,0.679,0.8078,0.7177
13885,13890,359,0.5,0.8649,0.6095
13885,20613,225,0.6364,0.9334,0.7255
13890,20613,134,0.7733,0.8773,0.8045
14016,17292,100,0.3,0.9481,0.4944
14511,19893,357,0.3,0.8312,0.4594
14577,6400,40,0.2419,0.9365,0.4503
15084,15092,100,0.6412,0.8232,0.6958
15086,15087,73,0.4862,0.8744,0.6027
15086,15095,273,0.7862,0.5795,0.7242
15086,15097,2,0.9862,0.9575,0.9776
15087,15095,200,0.4862,0.6875,0.5466
15087,15097,75,0.4862,0.8864,0.6063
15093,15095,855,0.7862,0.5719,0.7219
15095,15097,275,0.7862,0.6209,0.7366
15105,6049,942,0.5,0.9302,0.6291
15110,23110,102,0.3866,0.7846,0.506
15110,5985,4,0.3866,0.867,0.5307
15110,5992,2,0.3866,0.8592,0.5284
15112,17104,2,0.8835,0.9729,0.9103
15112,6023,434,0.6978,0.8761,0.7513
15112,6038,295,0.6978,0.8747,0.7508
15112,6286,495,0.6978,0.8548,0.7449
15120,15123,239,0.4205,0.8025,0.5351
15120,15126,218,0.4205,0.7178,0.5096
15120,15127,178,0.4205,0.8,0.5343
15120,15131,217,0.4205,0.7943,0.5326
15120,15164,247,0.4517,0.6828,0.521
15120,16790,64,0.4205,0.6486,0.4889
15120,17279,227,0.4205,0.804,0.5355
15120,18323,235,0.4205,0.6492,0.4891
15120,19044,33,0.4205,0.7781,0.5278
15120,19050,90,0.4205,0.894,0.5625
15120,19052,110,0.4205,0.8325,0.5441
15120,23173,235,0.4205,0.7681,0.5248
15123,15126,21,0.4205,0.8465,0.5483
15123,15127,61,0.4205,0.9113,0.5677
15123,15131,22,0.4205,0.851,0.5496
15123,15154,359,0.2572,0.9142,0.4543
15123,16790,175,0.4205,0.7961,0.5331
15123,17268,61,0.2572,0.9125,0.4538
15123,17275,96,0.2572,0.9087,0.4527
15123,17279,12,0.4205,0.9329,0.5742
15123,18323,4,0.4205,0.7809,0.5286
15123,19044,272,0.4205,0.8233,0.5413
15123,19050,149,0.4205,0.8775,0.5576
15123,19052,349,0.4205,0.8794,0.5581
15123,23173,4,0.4205,0.9165,0.5693
15126,15127,40,0.4205,0.8016,0.5348
15126,15131,1,0.4205,0.7916,0.5318
15126,16790,154,0.5916,0.7245,0.6314
15126,17279,9,0.4205,0.8098,0.5373
15126,18323,17,0.4205,0.7193,0.5101
15126,19044,251,0.4205,0.7528,0.5202
15126,19050,128,0.4205,0.7938,0.5325
15126,19052,328,0.5916,0.7546,0.6405
15126,23173,17,0.4205,0.8256,0.542
15127,15131,39,0.4205,0.8282,0.5428
15127,16790,114,0.4205,0.7538,0.5204
15127,17279,49,0.4205,0.8907,0.5615
15127,18323,57,0.4205,0.7377,0.5156
15127,19044,211,0.4205,0.8117,0.5378
15127,19050,88,0.4205,0.8484,0.5488
15127,19052,288,0.4205,0.8509,0.5496
15127,23173,57,0.4205,0.8526,0.5501
15130,15132,23,0.5357,0.6728,0.5768
15130,17369,716,0.5357,0.5353,0.5356
15130,17588,160,0.3725,0.6327,0.4506
15130,19043,261,0.5357,0.6263,0.5629
15131,15137,560,0.5533,0.8283,0.6358
15131,15146,1009,0.5502,0.6347,0.5756
15131,15148,723,0.6205,0.9122,0.708
15131,15166,904,0.5502,0.7323,0.6049
15131,16790,153,0.4205,0.7349,0.5148
15131,16794,2,0.387,0.8938,0.5391
15131,17279,10,0.4205,0.8095,0.5372
15131,18323,18,0.4205,0.7355,0.515
15131,19043,255,0.2961,0.8162,0.4521
15131,19044,250,0.5502,0.7499,0.6101
15131,19050,127,0.4205,0.9117,0.5678
15131,19052,327,0.4205,0.7791,0.5281
15131,23164,722,0.5502,0.8852,0.6507
15131,23170,1094,0.5502,0.8121,0.6288
15131,23173,18,0.5502,0.8696,0.646
15132,16792,18,0.3725,0.7275,0.479
15132,17369,693,0.5357,0.5422,0.5377
15132,17588,183,0.3725,0.6874,0.467
15132,19043,284,0.5357,0.7584,0.6025
15137,15148,163,0.5533,0.8465,0.6413
15137,15166,344,0.4205,0.784,0.5295
15137,23164,162,0.4205,0.862,0.5529
15138,15141,371,0.7334,0.6632,0.7123
15138,16804,371,0.5702,0.7877,0.6354
15138,16807,1045,0.6036,0.6624,0.6212
15138,16812,408,0.6036,0.8131,0.6664
15138,16813,1,0.6036,0.9617,0.711
15141,15146,286,0.293,0.9109,0.4783
15141,16812,37,0.6036,0.5942,0.6008
15141,16813,370,0.6036,0.6248,0.61
15142,15166,344,0.387,0.7184,0.4864
15142,23170,154,0.387,0.7628,0.4997
15143,17268,598,0.5139,0.6045,0.5411
